tranDate,custName,cardNum,zipCode,tranAmount
2023-09-15 20:32:41,Catherine Bell,2294637276392057,08642,848
2023-05-16 23:18:37,Parker Riddle,342160763812707,80349,574
2023-09-11 18:38:23,Brenda Baird,4137641055044779,34346,600
2023-08-04 21:42:37,Kimberly Carter,3546070762859922,47715,583
2023-09-22 08:27:40,Daniel Rodriguez,213170012973743,77790,3636
2023-07-23 07:17:44,Ann Thomas,563756636806,09212,3167
2024-02-03 01:34:29,Charles Payne,4563459369329932,50748,3708
2023-12-01 16:29:57,Natasha Miller,3566249916312344,68069,1309
2023-05-03 09:51:45,Aaron Wood,180025456099281,46783,1379
2023-09-11 06:54:22,Michael Brown,378345184531542,55429,4016
2023-08-01 07:11:17,Kevin Maldonado,4696992085229382,56841,1900
2024-03-08 08:27:50,Marcus Parsons,30487609418390,81999,523
2024-01-10 01:33:03,David Nunez,6011467243467581,76784,1373
2023-09-08 14:20:44,Michelle Patrick,3533048242980455,94361,1735
2023-08-10 20:42:49,David Lane,4852128715646,14388,1283
2023-12-12 00:42:05,Patricia Hawkins,4713226814728474,71891,701
2024-02-29 17:55:11,Christopher Castillo,30210539001189,50624,1834
2023-12-06 16:20:39,Shaun Jenkins,30370826751068,34473,1501
2023-11-29 07:11:52,Hannah Walton,4250927428168658672,85810,1724
2023-10-19 14:59:58,Sara Williams,4166312638941099793,84882,2193
2023-12-09 09:09:01,Shawn Benton,4361206212641,35508,1354
2023-07-16 09:39:50,Meghan Norris,4189278834061,00707,2974
2024-03-04 10:29:47,Heather Mercer,4783777174493346481,75848,3896
2023-10-30 21:33:56,George Robertson,6553295230207262,07119,4260
2023-08-19 06:56:16,Yolanda Beck,6509723880976683,14563,606
2024-01-17 09:11:01,Thomas Boyer,4844458638249997,98556,150
2023-04-12 00:28:38,Helen Wood,213163344222517,11302,2390
2023-04-14 04:47:08,Suzanne Wu,4315491507472317,82250,2558
2023-08-13 18:10:55,James Davis,38240777468560,93395,1702
2023-11-02 23:45:50,Jeanne Armstrong,4106540197605686,72532,1813
2023-04-30 04:21:41,Lisa Kidd,4403013274210242,59211,4519
2023-04-21 05:14:20,Maureen Henson,3549115316477007,70988,1629
2023-09-05 20:18:11,Christina Woods,342138258353536,07665,4765
2023-10-29 21:22:07,Sandra Rodriguez,213161953676684,16607,827
2023-03-27 00:20:32,Shane Lane,4694745485900,11585,2060
2024-03-15 02:56:52,Ryan Hernandez,4130949605456,63303,2259
2023-07-16 10:05:18,Andrew Walker,3512073975416688,88984,1455
2023-11-28 05:00:17,Derek Donaldson,6537893133760972,37159,1812
2024-02-03 00:30:16,Michael Casey,4849732264847231779,81345,931
2023-07-19 20:19:45,Debra Lawson,213163551320954,87328,1397
2023-09-21 06:55:19,Rick Lewis,2720232850715636,06295,3687
2023-12-20 18:25:59,Tina Mitchell,6011930024219000,30500,2664
2023-07-10 13:29:11,David Gutierrez,2694996023006261,58840,537
2023-09-21 14:33:26,Erin Sharp,4697501248740188758,69288,2664
2023-10-27 22:14:55,Kimberly Johnson,060447832613,35124,730
2023-10-03 00:31:20,Pamela Jacobson,180017521446191,80969,1689
